p,d,q,aic
4,1,0,21653.640380262048
5,1,0,21549.20348884764
2,0,5,20765.769184690755
4,0,1,20772.60875041791
1,0,5,20770.294995059507
3,0,0,20769.34193252518
3,1,2,20771.83118355001
5,1,3,20777.721736718526
5,0,5,20759.69174489365
2,0,0,20767.384956692167
0,1,4,20775.933069867395
1,0,1,20767.40045354529
3,0,5,20767.466599734133
4,0,3,20760.17268221306
1,0,2,20769.316563918506
4,1,5,20782.718732506804
2,1,3,20778.535446826583
1,1,4,20771.83224385813
2,1,0,22142.964960629943
3,1,4,20783.602298098762
5,0,2,20765.700811339786
3,0,1,20771.1285593237
2,0,2,20770.276020849757
2,0,1,20769.343312732562
1,1,1,20772.054479517104
5,1,1,20777.79449704313
1,1,0,22727.887402215612
4,0,2,20766.626771308293
4,0,5,20767.669306633456
2,1,1,20773.847318298413
5,1,5,20784.58047267117
1,1,5,20773.82210101372
1,1,3,20770.357008767573
4,1,3,20780.703891455287
1,1,2,20773.859866832983
0,0,0,20771.207883953128
2,0,3,20768.283194600026
0,0,3,20769.31205182046
3,0,2,20762.210899391986
0,0,1,20765.696326988585
2,1,4,20777.9457613555
0,0,4,20770.964444502
5,0,4,20761.413796780696
2,1,2,20775.902266278186
4,0,0,20770.8980095288
4,0,4,20772.58164778785
2,1,5,20780.209576385252
5,1,4,20784.134938701256
3,1,3,20772.91306648415
4,1,1,20777.343537516907
0,1,1,20777.650908377964
1,0,3,20771.287196539783
0,0,5,20770.955464435203
3,1,1,20776.22295882918
3,0,4,20765.987213094464
0,1,0,24242.97028989755
0,1,2,20772.165648105038
1,0,4,20772.598795940074
1,0,0,20765.585015672717
4,1,2,20779.405851342708
3,1,5,20773.2942720355
4,1,4,20782.380076228717
0,1,3,20773.834609059046
0,1,5,20777.417837364945
5,0,0,20771.310487853487
2,0,4,20766.63284008327
3,0,3,20763.798486848853
0,0,2,20767.37152664901
3,1,0,21814.581265926165
5,0,1,20770.27855660268
5,0,3,20767.35798733354
5,1,2,20775.141846176248
